_:ex5702_38_12,_:ex9902_26971,_:ex9903_26971,_:ex9904_26971
X2,_:ex9902_31,_:ex9903_31,_:ex9904_31
_:ex2271_65_10_40,_:ex9902_26386,_:ex9903_26386,_:ex9904_26386
X1,_:ex9902_38,_:ex9903_38,_:ex9904_38
_:ex8142_8_50_12_54,_:ex9902_28647,_:ex9903_28647,_:ex9904_28647
_:ex828_38_10,_:ex9902_28088,_:ex9903_28088,_:ex9904_28088
_:ex5956_54,_:ex9902_21683,_:ex9903_21683,_:ex9904_21683
_:ex8554_54_14_50,_:ex9902_21589,_:ex9903_21589,_:ex9904_21589
_:ex595_40_31_12,_:ex9902_20001,_:ex9903_20001,_:ex9904_20001
_:ex3584_62_18,_:ex9902_26233,_:ex9903_26233,_:ex9904_26233
_:ex798_54_50,_:ex9902_21995,_:ex9903_21995,_:ex9904_21995
X4,_:ex9902_27,_:ex9903_27,_:ex9904_27
_:ex252_10_12_40_50,_:ex255_10_12_40_50,_:ex256_10_12_40_50,_:ex257_10_12_40_50
X3,_:ex811_54,_:ex812_54,_:ex813_54
_:ex5590_50_31_12,X2,_:ex5592_31_12_50,X8
X3,_:ex6739_54_18,_:ex6740_54_18,X12
_:ex5259_8_27,_:ex5260_8_27,X5,_:ex5261_8_27
_:ex1996_54_40,X3,_:ex1999_54_40,_:ex2000_54_40
_:ex4138_40_8_31_12,X2,_:ex4140_31_12_40_8,X8
_:ex6811_50_54,_:ex6812_50_54,_:ex6813_50_54,X6
X1,_:ex413_38_18,_:ex414_38_18,_:ex415_38_18
_:ex1877_40_31,X2,_:ex1880_31_40,_:ex1881_31_40
