_:ex7420_54_62,_:ex9722_26917,_:ex9723_26917,_:ex9724_26917
X3,_:ex9722_54,_:ex9723_54,_:ex9724_54
_:ex7974_8_18,_:ex9722_29563,_:ex9723_29563,_:ex9724_29563
_:ex1457_31_65,_:ex9722_29288,_:ex9723_29288,_:ex9724_29288
_:ex4246_8_62,_:ex9722_22697,_:ex9723_22697,_:ex9724_22697
_:ex8106_31,_:ex9722_16783,_:ex9723_16783,_:ex9724_16783
X1,_:ex9722_38,_:ex9723_38,_:ex9724_38
_:ex5106_14_38,_:ex9722_19479,_:ex9723_19479,_:ex9724_19479
_:ex7732_50_12_27,_:ex9722_28936,_:ex9723_28936,_:ex9724_28936
_:ex251_10_12_40_50,_:ex9722_28802,_:ex9723_28802,_:ex9724_28802
_:ex7933_38,_:ex9722_21088,_:ex9723_21088,_:ex9724_21088
_:ex7514_12_40_8_27,_:ex7516_27_12_40_8,_:ex7517_12_27_40_8,_:ex7518_12_27_40_8
X1,X2,X7,X8
_:ex4572_38,X1,_:ex4573_38,_:ex4574_38
X1,_:ex826_38_10,X7,_:ex827_38_10
_:ex6292_50_62_18,_:ex6295_62_18_50,_:ex6296_62_18_50,_:ex6297_62_18_50
X2,_:ex1378_31_65_18,X9,_:ex1379_31_65_18
X1,_:ex4584_38_10_65,X7,_:ex4585_38_10_65
_:ex6631_65_14_38,_:ex6632_65_14_38,_:ex6633_65_14_38,_:ex6634_65_14_38
X1,X2,_:ex8543_38_31,_:ex8544_38_31
_:ex5609_10_18,_:ex5610_10_18,_:ex5611_10_18,_:ex5612_10_18
_:ex8643_62_18,_:ex8646_62_18,X11,X12
_:ex8269_8_50_31_12,_:ex8270_8_50_31_12,X5,X6
_:ex2621_65_40_62,_:ex2624_65_62_40,X9,_:ex2625_65_62_40
_:ex2651_27_12_40,X4,_:ex2654_27_12_40,_:ex2655_27_12_40
