_:ex214_14_8_27_18,_:ex217_14_27_18_8,_:ex218_14_27_18_8,X10
X0,_:ex3801_40_54_65,_:ex3802_40_54_65,_:ex3803_40_54_65
X2,_:ex8752_31_18,_:ex8753_31_18,_:ex8754_31_18
_:ex5092_38_10_62,_:ex5094_62_38_10,_:ex5095_38_10_62,_:ex5096_38_10_62
_:ex7370_65_27_18_12,X4,_:ex7372_27_18_65_12,X12
_:ex3855_8_27_62,_:ex3858_27_62_8,_:ex3859_27_62_8,_:ex3860_27_62_8
X1,X2,_:ex9115_38_31,_:ex9116_38_31
_:ex5487_8_10_14,_:ex5489_10_14_8,X7,_:ex5490_10_8_14
X1,X2,_:ex1436_38_31_12,X8
_:ex1367_27_8_50,X4,_:ex1370_27_8_50,_:ex1371_27_8_50
_:ex4671_18_50,_:ex4674_18_50,_:ex4675_18_50,X12
_:ex1423_8_12_54,_:ex1424_8_12_54,X5,_:ex1425_8_12_54
X0,X1,_:ex5662_40_38,_:ex5663_40_38
