_:ex9137_14_8,_:ex9139_14_8,_:ex9140_14_8,_:ex9141_14_8
_:ex8947_40_10_54_65,_:ex8950_10_54_65_40,X7,_:ex8951_10_40_54_65
X1,_:ex5290_38_27_62,_:ex5291_38_27_62,_:ex5292_38_27_62
_:ex7334_38_8,X1,X5,_:ex7335_38_8
X2,_:ex5859_31,_:ex5860_31,_:ex5861_31
_:ex5166_31_65_62_18,_:ex5168_62_18_31_65,X11,X12
X2,_:ex986_31_27,_:ex987_31_27,_:ex988_31_27
_:ex3060_31,_:ex3063_31,_:ex3064_31,_:ex3065_31
X0,_:ex3066_40_8_12_14,X5,_:ex3067_40_8_12_14
_:ex1284_18_40,_:ex1287_18_40,_:ex1288_18_40,X12
_:ex662_62_18,_:ex665_62_18,_:ex666_62_18,_:ex667_62_18
