_:ex10064_42784,_:ex10067_42784,_:ex10068_42784,_:ex10069_42784
_:ex10064_42420,_:ex10067_42420,_:ex10068_42420,_:ex10069_42420
_:ex10064_41856,_:ex10067_41856,_:ex10068_41856,_:ex10069_41856
_:ex10064_45082,_:ex10067_45082,_:ex10068_45082,_:ex10069_45082
_:ex10064_45015,_:ex10067_45015,_:ex10068_45015,_:ex10069_45015
_:ex10064_44719,_:ex10067_44719,_:ex10068_44719,_:ex10069_44719
_:ex10064_44692,_:ex10067_44692,_:ex10068_44692,_:ex10069_44692
_:ex10064_40714,_:ex10067_40714,_:ex10068_40714,_:ex10069_40714
_:ex10064_40546,_:ex10067_40546,_:ex10068_40546,_:ex10069_40546
_:ex10064_44316,_:ex10067_44316,_:ex10068_44316,_:ex10069_44316
_:ex10343_20949,_:ex10346_20949,_:ex10347_20949,_:ex10348_20949
_:ex10064_43700,_:ex10067_43700,_:ex10068_43700,_:ex10069_43700
_:ex10064_43511,_:ex10067_43511,_:ex10068_43511,_:ex10069_43511
_:ex10064_42890,_:ex10067_42890,_:ex10068_42890,_:ex10069_42890
_:ex10064_42358,_:ex10067_42358,_:ex10068_42358,_:ex10069_42358
_:ex10064_41977,_:ex10067_41977,_:ex10068_41977,_:ex10069_41977
_:ex10064_41191,_:ex10067_41191,_:ex10068_41191,_:ex10069_41191
_:ex10343_26384,_:ex10346_26384,_:ex10347_26384,_:ex10348_26384
_:ex10343_23727,_:ex10346_23727,_:ex10347_23727,_:ex10348_23727
_:ex10064_23252,_:ex10067_23252,_:ex10068_23252,_:ex10069_23252
_:ex10343_17692,_:ex10346_17692,_:ex10347_17692,_:ex10348_17692
_:ex10064_44203,_:ex10067_44203,_:ex10068_44203,_:ex10069_44203
_:ex10064_44052,_:ex10067_44052,_:ex10068_44052,_:ex10069_44052
_:ex10064_44055,_:ex10067_44055,_:ex10068_44055,_:ex10069_44055
_:ex10064_43487,_:ex10067_43487,_:ex10068_43487,_:ex10069_43487
_:ex10064_40632,_:ex10067_40632,_:ex10068_40632,_:ex10069_40632
_:ex10064_40158,_:ex10067_40158,_:ex10068_40158,_:ex10069_40158
_:ex10064_41303,_:ex10067_41303,_:ex10068_41303,_:ex10069_41303
_:ex10064_41092,_:ex10067_41092,_:ex10068_41092,_:ex10069_41092
_:ex10064_25679,_:ex10067_25679,_:ex10068_25679,_:ex10069_25679
_:ex10343_25560,_:ex10346_25560,_:ex10347_25560,_:ex10348_25560
_:ex10064_31,_:ex10067_31,_:ex10068_31,_:ex10069_31
_:ex10064_43162,_:ex10067_43162,_:ex10068_43162,_:ex10069_43162
_:ex10064_42936,_:ex10067_42936,_:ex10068_42936,_:ex10069_42936
_:ex10064_42380,_:ex10067_42380,_:ex10068_42380,_:ex10069_42380
_:ex10064_43383,_:ex10067_43383,_:ex10068_43383,_:ex10069_43383
_:ex10064_40390,_:ex10067_40390,_:ex10068_40390,_:ex10069_40390
