_:ex5140_40_8_10_12,_:ex9677_26414,_:ex9678_26414,_:ex9679_26414
_:ex8586_65_27,_:ex9677_23313,_:ex9678_23313,_:ex9679_23313
_:ex7468_38_62,_:ex9677_29307,_:ex9678_29307,_:ex9679_29307
_:ex8293_14_12_40_8,_:ex9677_23404,_:ex9678_23404,_:ex9679_23404
X2,_:ex9677_31,_:ex9678_31,_:ex9679_31
_:ex436_14_38_10,_:ex9677_25196,_:ex9678_25196,_:ex9679_25196
X3,_:ex9677_54,_:ex9678_54,_:ex9679_54
_:ex6479_31_12,_:ex9677_20509,_:ex9678_20509,_:ex9679_20509
_:ex2297_54,_:ex9677_19020,_:ex9678_19020,_:ex9679_19020
_:ex4121_38_14,_:ex9677_18040,_:ex9678_18040,_:ex9679_18040
_:ex6989_10_18,_:ex9677_16147,_:ex9678_16147,_:ex9679_16147
_:ex2105_40_12,_:ex9677_28204,_:ex9678_28204,_:ex9679_28204
X1,_:ex9677_38,_:ex9678_38,_:ex9679_38
_:ex3739_18_38,_:ex9677_23565,_:ex9678_23565,_:ex9679_23565
_:ex4331_31_65,_:ex9677_17871,_:ex9678_17871,_:ex9679_17871
_:ex4861_50_31,_:ex4862_50_31,_:ex4863_50_31,X6
X1,X2,X7,X8
_:ex7732_50_12_27,_:ex7734_12_50_27,_:ex7735_12_50_27,X8
X0,_:ex9403_40_50_14,_:ex9404_40_50_14,X6
_:ex2179_54_14,X3,_:ex2182_54_14,X10
X0,X1,_:ex1867_40_38,_:ex1868_40_38
_:ex946_38_54_14,X3,_:ex949_54_14_38,X10
_:ex5820_65_18,_:ex5823_65_18,X9,_:ex5824_65_18
X0,_:ex8898_40_50_10_14,_:ex8899_40_50_10_14,X6
_:ex926_31,_:ex929_31,_:ex930_31,_:ex931_31
_:ex4079_40_50_65_27,_:ex4081_65_40_50_27,_:ex4082_40_50_65_27,_:ex4083_40_50_65_27
_:ex9229_27_8,X4,_:ex9232_27_8,_:ex9233_27_8
_:ex3281_31,_:ex3284_31,_:ex3285_31,_:ex3286_31
X3,_:ex5996_54,_:ex5997_54,_:ex5998_54
_:ex7257_38_10,_:ex7260_38_10,_:ex7261_38_10,_:ex7262_38_10
_:ex9312_50_31_10,X2,X7,_:ex9314_31_10_50
X2,_:ex156_31,_:ex157_31,_:ex158_31
