_:ex9839_64926,_:ex9842_64926,_:ex9843_64926,_:ex9844_64926
_:ex9839_64780,_:ex9842_64780,_:ex9843_64780,_:ex9844_64780
_:ex9839_64506,_:ex9842_64506,_:ex9843_64506,_:ex9844_64506
_:ex9839_64048,_:ex9842_64048,_:ex9843_64048,_:ex9844_64048
_:ex9839_63793,_:ex9842_63793,_:ex9843_63793,_:ex9844_63793
_:ex9839_63649,_:ex9842_63649,_:ex9843_63649,_:ex9844_63649
_:ex9839_63378,_:ex9842_63378,_:ex9843_63378,_:ex9844_63378
_:ex9839_50002,_:ex9842_50002,_:ex9843_50002,_:ex9844_50002
_:ex9839_49767,_:ex9842_49767,_:ex9843_49767,_:ex9844_49767
_:ex9839_49538,_:ex9842_49538,_:ex9843_49538,_:ex9844_49538
_:ex9839_49216,_:ex9842_49216,_:ex9843_49216,_:ex9844_49216
_:ex9839_65078,_:ex9842_65078,_:ex9843_65078,_:ex9844_65078
_:ex9839_66926,_:ex9842_66926,_:ex9843_66926,_:ex9844_66926
_:ex9839_66817,_:ex9842_66817,_:ex9843_66817,_:ex9844_66817
_:ex9839_66641,_:ex9842_66641,_:ex9843_66641,_:ex9844_66641
_:ex9839_66494,_:ex9842_66494,_:ex9843_66494,_:ex9844_66494
_:ex9839_66347,_:ex9842_66347,_:ex9843_66347,_:ex9844_66347
_:ex9839_66011,_:ex9842_66011,_:ex9843_66011,_:ex9844_66011
_:ex9839_65859,_:ex9842_65859,_:ex9843_65859,_:ex9844_65859
_:ex9839_65598,_:ex9842_65598,_:ex9843_65598,_:ex9844_65598
_:ex9839_66851,_:ex9842_66851,_:ex9843_66851,_:ex9844_66851
_:ex9839_66745,_:ex9842_66745,_:ex9843_66745,_:ex9844_66745
_:ex9839_66538,_:ex9842_66538,_:ex9843_66538,_:ex9844_66538
_:ex9839_66174,_:ex9842_66174,_:ex9843_66174,_:ex9844_66174
_:ex9839_65912,_:ex9842_65912,_:ex9843_65912,_:ex9844_65912
_:ex9839_65759,_:ex9842_65759,_:ex9843_65759,_:ex9844_65759
_:ex9839_65528,_:ex9842_65528,_:ex9843_65528,_:ex9844_65528
_:ex9839_65323,_:ex9842_65323,_:ex9843_65323,_:ex9844_65323
_:ex9839_19832,_:ex9842_19832,_:ex9843_19832,_:ex9844_19832
_:ex9839_62777,_:ex9842_62777,_:ex9843_62777,_:ex9844_62777
_:ex9839_52034,_:ex9842_52034,_:ex9843_52034,_:ex9844_52034
_:ex9839_51987,_:ex9842_51987,_:ex9843_51987,_:ex9844_51987
_:ex9839_51766,_:ex9842_51766,_:ex9843_51766,_:ex9844_51766
_:ex9839_51692,_:ex9842_51692,_:ex9843_51692,_:ex9844_51692
_:ex9839_51631,_:ex9842_51631,_:ex9843_51631,_:ex9844_51631
_:ex9839_51565,_:ex9842_51565,_:ex9843_51565,_:ex9844_51565
_:ex9839_51485,_:ex9842_51485,_:ex9843_51485,_:ex9844_51485
_:ex9839_51001,_:ex9842_51001,_:ex9843_51001,_:ex9844_51001
_:ex9839_50306,_:ex9842_50306,_:ex9843_50306,_:ex9844_50306
_:ex9839_50180,_:ex9842_50180,_:ex9843_50180,_:ex9844_50180
_:ex9839_49622,_:ex9842_49622,_:ex9843_49622,_:ex9844_49622
_:ex9839_49484,_:ex9842_49484,_:ex9843_49484,_:ex9844_49484
_:ex9839_49347,_:ex9842_49347,_:ex9843_49347,_:ex9844_49347
_:ex9839_48511,_:ex9842_48511,_:ex9843_48511,_:ex9844_48511
