_:ex10172_44817,_:ex9758_52405,_:ex9759_52405,_:ex9760_52405
_:ex10172_44781,_:ex9758_52369,_:ex9759_52369,_:ex9760_52369
_:ex10172_44506,_:ex9758_52069,_:ex9759_52069,_:ex9760_52069
_:ex10172_33238,_:ex9758_52029,_:ex9759_52029,_:ex9760_52029
_:ex10172_33073,_:ex9758_51983,_:ex9759_51983,_:ex9760_51983
_:ex10082_22956,_:ex10085_22956,_:ex10086_22956,_:ex10087_22956
_:ex10172_33913,_:ex9758_46981,_:ex9759_46981,_:ex9760_46981
_:ex10172_33627,_:ex9758_46899,_:ex9759_46899,_:ex9760_46899
_:ex9857_28880,_:ex9758_37118,_:ex9759_37118,_:ex9760_37118
_:ex10172_28830,_:ex9758_46803,_:ex9759_46803,_:ex9760_46803
_:ex10172_38,_:ex9758_46696,_:ex9759_46696,_:ex9760_46696
_:ex9857_28381,_:ex9758_37022,_:ex9759_37022,_:ex9760_37022
_:ex10172_28358,_:ex9758_46487,_:ex9759_46487,_:ex9760_46487
_:ex10172_25622,_:ex9758_46320,_:ex9759_46320,_:ex9760_46320
_:ex9857_25520,_:ex9758_36883,_:ex9759_36883,_:ex9760_36883
_:ex9857_22760,_:ex9758_36565,_:ex9759_36565,_:ex9760_36565
_:ex9857_31,_:ex9758_35724,_:ex9759_35724,_:ex9760_35724
_:ex10172_16900,_:ex9758_45407,_:ex9759_45407,_:ex9760_45407
_:ex10172_40256,_:ex9758_51559,_:ex9759_51559,_:ex9760_51559
_:ex10172_40184,_:ex9758_51475,_:ex9759_51475,_:ex9760_51475
_:ex10172_43931,_:ex9758_50994,_:ex9759_50994,_:ex9760_50994
_:ex10172_43220,_:ex9758_50297,_:ex9759_50297,_:ex9760_50297
_:ex10172_43135,_:ex9758_50173,_:ex9759_50173,_:ex9760_50173
_:ex10172_42749,_:ex9758_49612,_:ex9759_49612,_:ex9760_49612
_:ex10172_42562,_:ex9758_49474,_:ex9759_49474,_:ex9760_49474
_:ex10172_42490,_:ex9758_49334,_:ex9759_49334,_:ex9760_49334
_:ex10172_41828,_:ex9758_48502,_:ex9759_48502,_:ex9760_48502
_:ex10172_41393,_:ex9758_48083,_:ex9759_48083,_:ex9760_48083
_:ex10172_34268,_:ex9758_47788,_:ex9759_47788,_:ex9760_47788
_:ex10172_41064,_:ex9758_46914,_:ex9759_46914,_:ex9760_46914
_:ex9857_34196,_:ex9758_39639,_:ex9759_39639,_:ex9760_39639
_:ex9857_33462,_:ex9758_39464,_:ex9759_39464,_:ex9760_39464
_:ex9857_32709,_:ex9758_39000,_:ex9759_39000,_:ex9760_39000
_:ex9857_31176,_:ex9758_38239,_:ex9759_38239,_:ex9760_38239
_:ex9857_31000,_:ex9758_37959,_:ex9759_37959,_:ex9760_37959
_:ex9857_32767,_:ex9758_38718,_:ex9759_38718,_:ex9760_38718
_:ex9857_30840,_:ex9758_37687,_:ex9759_37687,_:ex9760_37687
