_:ex1513_8_14_27_18,_:ex1514_8_14_27_18,X5,_:ex1515_8_14_27_18
_:ex6022_54_8,X3,_:ex6025_54_8,_:ex6026_54_8
_:ex1626_14_10_40_8,_:ex1628_14_10_40_8,_:ex1629_14_10_40_8,_:ex1630_14_10_40_8
X1,_:ex4438_38_10,X7,_:ex4439_38_10
X2,_:ex19_31,_:ex20_31,_:ex21_31
_:ex1108_38_54,X3,_:ex1111_54_38,_:ex1112_54_38
X3,_:ex4240_54,_:ex4241_54,_:ex4242_54
_:ex9061_54_65,_:ex9062_54_65,_:ex9063_54_65,_:ex9064_54_65
X1,_:ex2312_38_14,_:ex2313_38_14,_:ex2314_38_14
_:ex8131_12_18,_:ex8134_12_18,_:ex8135_12_18,X8
X1,_:ex5992_38_54_14,_:ex5993_38_54_14,_:ex5994_38_54_14
_:ex6402_38,X1,_:ex6403_38,_:ex6404_38
X0,X1,_:ex469_40_38,_:ex470_40_38
