_:ex2961_10_12_27,_:ex2964_10_12_27,X7,X8
_:ex1097_8_12_65_62,_:ex1098_8_12_65_62,X5,_:ex1099_8_12_65_62
_:ex4843_65_14_40_8,_:ex4846_65_14_40_8,X9,X10
_:ex8025_10_14,_:ex8026_10_14,_:ex8027_10_14,_:ex8028_10_14
_:ex8198_40_8_50_12,_:ex8199_12_40_8_50,_:ex8200_12_40_8_50,X8
X3,_:ex6985_54,_:ex6986_54,_:ex6987_54
X2,_:ex1025_31,_:ex1026_31,_:ex1027_31
_:ex2873_14_50,_:ex2875_14_50,_:ex2876_14_50,_:ex2877_14_50
_:ex3468_8_50_62,_:ex3469_8_50_62,X5,X6
X2,_:ex5584_31_14,_:ex5585_31_14,X10
_:ex6618_8_50_12_14,_:ex6619_12_14_8_50,_:ex6620_12_8_50_14,X8
_:ex4542_40_8_50_10,_:ex4543_10_40_8_50,X7,_:ex4544_10_40_8_50
X3,X4,X11,_:ex459_54_27_62
