_:ex9965_38131,_:ex9968_38131,_:ex9969_38131,_:ex9970_38131
_:ex9965_38006,_:ex9968_38006,_:ex9969_38006,_:ex9970_38006
_:ex9965_37325,_:ex9968_37325,_:ex9969_37325,_:ex9970_37325
_:ex9965_37256,_:ex9968_37256,_:ex9969_37256,_:ex9970_37256
_:ex9965_36645,_:ex9968_36645,_:ex9969_36645,_:ex9970_36645
_:ex9965_36374,_:ex9968_36374,_:ex9969_36374,_:ex9970_36374
_:ex9965_36278,_:ex9968_36278,_:ex9969_36278,_:ex9970_36278
_:ex9965_36269,_:ex9968_36269,_:ex9969_36269,_:ex9970_36269
_:ex9965_35417,_:ex9968_35417,_:ex9969_35417,_:ex9970_35417
_:ex9965_39090,_:ex9968_39090,_:ex9969_39090,_:ex9970_39090
_:ex9965_38962,_:ex9968_38962,_:ex9969_38962,_:ex9970_38962
_:ex9965_38498,_:ex9968_38498,_:ex9969_38498,_:ex9970_38498
_:ex9965_38717,_:ex9968_38717,_:ex9969_38717,_:ex9970_38717
_:ex9965_39558,_:ex9968_39558,_:ex9969_39558,_:ex9970_39558
_:ex9965_39214,_:ex9968_39214,_:ex9969_39214,_:ex9970_39214
_:ex9965_39194,_:ex9968_39194,_:ex9969_39194,_:ex9970_39194
_:ex9965_21646,_:ex9968_21646,_:ex9969_21646,_:ex9970_21646
_:ex9965_36606,_:ex9968_36606,_:ex9969_36606,_:ex9970_36606
_:ex9965_36105,_:ex9968_36105,_:ex9969_36105,_:ex9970_36105
_:ex9965_35900,_:ex9968_35900,_:ex9969_35900,_:ex9970_35900
_:ex9965_38,_:ex9968_38,_:ex9969_38,_:ex9970_38
_:ex9965_18898,_:ex9968_18898,_:ex9969_18898,_:ex9970_18898
_:ex9965_36010,_:ex9968_36010,_:ex9969_36010,_:ex9970_36010
_:ex9965_35886,_:ex9968_35886,_:ex9969_35886,_:ex9970_35886
_:ex9965_39332,_:ex9968_39332,_:ex9969_39332,_:ex9970_39332
_:ex9965_38850,_:ex9968_38850,_:ex9969_38850,_:ex9970_38850
_:ex9965_38508,_:ex9968_38508,_:ex9969_38508,_:ex9970_38508
_:ex9965_28263,_:ex9968_28263,_:ex9969_28263,_:ex9970_28263
_:ex9965_21749,_:ex9968_21749,_:ex9969_21749,_:ex9970_21749
_:ex9965_19350,_:ex9968_19350,_:ex9969_19350,_:ex9970_19350
_:ex9965_26301,_:ex9968_26301,_:ex9969_26301,_:ex9970_26301
_:ex9965_26053,_:ex9968_26053,_:ex9969_26053,_:ex9970_26053
_:ex9965_54,_:ex9968_54,_:ex9969_54,_:ex9970_54
_:ex9965_20301,_:ex9968_20301,_:ex9969_20301,_:ex9970_20301
_:ex3478_65_62_18,_:ex3479_65_62_18,_:ex3480_65_62_18,_:ex3481_65_62_18
_:ex1378_31_65_18,_:ex1380_18_31_65,_:ex1381_18_31_65,X12
X1,_:ex7641_38_12,_:ex7642_38_12,X8
X1,X2,X7,X8
_:ex4720_65_62_38_10,_:ex4722_62_65_38_10,X11,_:ex4723_62_65_38_10
_:ex7339_14_18_38,_:ex7341_18_14_38,_:ex7342_18_14_38,X12
X2,_:ex8173_31,_:ex8174_31,_:ex8175_31
_:ex4515_27_18,_:ex4518_27_18,_:ex4519_27_18,_:ex4520_27_18
X2,_:ex3281_31,_:ex3282_31,_:ex3283_31
X1,X2,X7,_:ex1506_38_31_10
_:ex3673_14_62,_:ex3676_14_62,_:ex3677_14_62,_:ex3678_14_62
_:ex6560_38_10_12,_:ex6561_38_10_12,_:ex6562_38_10_12,_:ex6563_38_10_12
X0,_:ex1069_40_31,_:ex1070_40_31,_:ex1071_40_31
_:ex3106_8_14_27_62,_:ex3108_14_8_27_62,_:ex3109_8_14_27_62,_:ex3110_8_14_27_62
