_:ex4522_12_14,_:ex4523_12_14,_:ex4524_12_14,_:ex4525_12_14
X0,_:ex1289_40_8_50_31,X5,X6
_:ex8508_65_27_40,X4,_:ex8510_27_65_40,_:ex8511_27_65_40
X1,_:ex5517_38_10,X7,_:ex5518_38_10
X2,X3,_:ex1329_31_54_14,X10
_:ex1799_8_50_65_14,_:ex1800_65_14_8_50,_:ex1801_8_50_65_14,_:ex1802_8_50_65_14
_:ex8829_38_8,X1,X5,_:ex8830_38_8
_:ex4308_31_27_18,X4,_:ex4311_27_18_31,X12
X3,_:ex700_54,_:ex701_54,_:ex702_54
_:ex3973_10_54_65,_:ex3974_10_54_65,_:ex3975_10_54_65,_:ex3976_10_54_65
X2,_:ex5900_31_65_27,X9,_:ex5901_31_65_27
_:ex7239_18_8,_:ex7242_18_8,_:ex7243_18_8,X12
