Department6-University0-Lecturer4,University96
Department6-University0-Lecturer3,University520
Department6-University0-Lecturer2,University856
Department6-University0-Lecturer1,University929
Department6-University0-Lecturer0,University407
Department6-University0-AssistantProfessor7,University664
Department6-University0-AssistantProfessor6,University684
Department6-University0-AssistantProfessor5,University824
Department6-University0-AssistantProfessor4,University403
Department6-University0-AssistantProfessor3,University550
Department6-University0-AssistantProfessor2,University371
Department6-University0-AssistantProfessor1,University76
Department6-University0-AssistantProfessor0,University505
Department6-University0-AssociateProfessor9,University404
Department6-University0-AssociateProfessor8,University685
Department6-University0-AssociateProfessor7,University495
Department6-University0-AssociateProfessor6,University875
Department6-University0-AssociateProfessor5,University553
Department6-University0-AssociateProfessor4,University182
Department6-University0-AssociateProfessor3,University151
Department6-University0-AssociateProfessor2,University297
Department6-University0-AssociateProfessor1,University665
Department6-University0-AssociateProfessor0,University742
Department6-University0-FullProfessor9,University934
Department6-University0-FullProfessor8,University712
Department6-University0-FullProfessor7,University661
Department6-University0-FullProfessor6,University162
Department6-University0-FullProfessor5,University22
Department6-University0-FullProfessor4,University742
Department6-University0-FullProfessor3,University929
Department6-University0-FullProfessor2,University302
Department6-University0-FullProfessor1,University238
Department6-University0-FullProfessor0,University474
Department5-University0-Lecturer5,University848
Department5-University0-Lecturer4,University263
Department5-University0-Lecturer3,University912
Department5-University0-Lecturer2,University434
Department5-University0-Lecturer1,University824
Department5-University0-Lecturer0,University485
Department5-University0-AssistantProfessor7,University210
Department5-University0-AssistantProfessor6,University965
Department5-University0-AssistantProfessor5,University67
Department5-University0-AssistantProfessor4,University264
Department5-University0-AssistantProfessor3,University942
Department5-University0-AssistantProfessor2,University648
Department5-University0-AssistantProfessor1,University313
Department5-University0-AssistantProfessor0,University724
Department5-University0-AssociateProfessor10,University796
Department5-University0-AssociateProfessor9,University781
Department5-University0-AssociateProfessor8,University573
Department5-University0-AssociateProfessor7,University471
Department5-University0-AssociateProfessor6,University258
Department5-University0-AssociateProfessor5,University460
Department5-University0-AssociateProfessor4,University895
Department5-University0-AssociateProfessor3,University796
Department5-University0-AssociateProfessor2,University361
Department5-University0-AssociateProfessor1,University486
Department5-University0-AssociateProfessor0,University873
